"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C2, C3, C4, C5, C6, C7, C9, C8, C10, C1, C11, ","11","","C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor",""
"D1, ","1","","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","Diode",""
"D2, ","1","LED_ALT","LED_ALT","LED_THT:LED_D3.0mm","LED generic, alternativ symbol",""
"J1, ","1","TRIG_IN","AudioJack_Mono_Switch","kicadlib:PJ301BM","Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",""
"J2, ","1","AUDIO_OUT","AudioJack_Mono_Switch","kicadlib:PJ301BM","Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",""
"J3, ","1","EXT_COIL","AudioJack_Mono_Switch","kicadlib:PJ301BM","Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",""
"L1, ","1","","L","kicadlib:CoilC-1X","Inductor",""
"L2, ","1","","L","Inductor_THT:L_Radial_D10.0mm_P5.00mm_Fastron_07P","Inductor",""
"R1, R2, R3, R4, R6, ","5","","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R5, ","1","CUTOFF","R_POT","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","Potentiometer",""
"SW1, ","1","LPF/HPF_IN","SW_DPDT_x2","kicadlib:DPDT_PUSH_SW","Switch, dual pole double throw, separate symbols",""
"SW2, ","1","RS/C","SW_DPDT_x2","kicadlib:DPDT_PUSH_SW","Switch, dual pole double throw, separate symbols",""
"SW3, ","1","C6_SEL","SW_SPST","kicadlib:DPDT_AS_SPST_PUSH_SW","Single Pole Single Throw (SPST) switch",""
"SW4, ","1","COIL_1","SW_SPST","kicadlib:DPDT_AS_SPST_PUSH_SW","Single Pole Single Throw (SPST) switch",""
"SW5, ","1","COIL_2","SW_SPST","kicadlib:DPDT_AS_SPST_PUSH_SW","Single Pole Single Throw (SPST) switch",""
"SW6, ","1","C11_SEL","SW_SPST","kicadlib:DPDT_AS_SPST_PUSH_SW","Single Pole Single Throw (SPST) switch",""
"SW7, ","1","C8_SEL","SW_SPST","kicadlib:DPDT_AS_SPST_PUSH_SW","Single Pole Single Throw (SPST) switch",""
"SW8, ","1","STR_OUT","SW_SPST","kicadlib:DPDT_AS_SPST_PUSH_SW","Single Pole Single Throw (SPST) switch",""
"SW9, ","1","LPF/HPF_OUT","SW_DPDT_x2","kicadlib:DPDT_PUSH_SW","Switch, dual pole double throw, separate symbols",""
"TP3, TP2, TP1, ","3","","TestPoint","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","test point",""
